,Produto,Link,Valor
0,"Xiaomi Mi Smart Band 5 1.1"" caixa de  plástico pc pulseira  black de  elastômero termoplástico e liga de alumínio XMSH10HM",https://www.mercadolivre.com.br/xiaomi-mi-smart-band-5-11-caixa-de-plastico-pc-pulseira-black-de-elastmero-termoplastico-e-liga-de-aluminio-xmsh10hm/p/MLB15963018?pdp_filters=category:MLB135384#searchVariation=MLB15963018&position=1&search_layout=stack&type=product&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$179,22"
1,Smartwatch Xiaomi Mi Band 5 Versão Global Original,https://produto.mercadolivre.com.br/MLB-1646514760-smartwatch-xiaomi-mi-band-5-verso-global-original-_JM?searchVariation=77961045301#searchVariation=77961045301&position=6&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$182,04"
2,Relógio Smartband Xiaomi Mi Band 5 C/ Funções Inteligentes,https://produto.mercadolivre.com.br/MLB-1779494960-relogio-smartband-xiaomi-mi-band-5-c-funcoes-inteligentes-_JM?searchVariation=77611986140#searchVariation=77611986140&position=7&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$268,80"
3,Mi Band 5 Smartwatch Xiaomi Global + Kit 3 Pulseira Envio Ja,https://produto.mercadolivre.com.br/MLB-1896060559-mi-band-5-smartwatch-xiaomi-global-kit-3-pulseira-envio-ja-_JM?searchVariation=85859027760#searchVariation=85859027760&position=10&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$218,99"
4,Smartwatch Xiaomi Mi Band 5 Versão Global,https://produto.mercadolivre.com.br/MLB-1779808152-smartwatch-xiaomi-mi-band-5-verso-global-_JM#position=11&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$186,99"
5,Xiaomi Mi Smart Band 5 1.1  Caixa De  Ban 5 Xmsh10hm,https://produto.mercadolivre.com.br/MLB-1904516087-xiaomi-mi-smart-band-5-11-caixa-de-ban-5-xmsh10hm-_JM?searchVariation=86769201322#searchVariation=86769201322&position=12&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$187,99"
6,Relogio Smartwatch Xiaomi Mi Band 5 + Pulseira + Pelicula M5,https://produto.mercadolivre.com.br/MLB-1680974801-relogio-smartwatch-xiaomi-mi-band-5-pulseira-pelicula-m5-_JM?searchVariation=76295628531#searchVariation=76295628531&position=13&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$207,88"
7,Mi Band 5 Pulseira Versão Global Original Relógio Lacrado,https://produto.mercadolivre.com.br/MLB-1622095906-mi-band-5-pulseira-verso-global-original-relogio-lacrado-_JM?searchVariation=61579624994#searchVariation=61579624994&position=14&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$199,99"
8,Xiaomi Mi Band 5 Global + 3 Pulseira Extra + 1 Pelicula M31,https://produto.mercadolivre.com.br/MLB-1885373348-xiaomi-mi-band-5-global-3-pulseira-extra-1-pelicula-m31-_JM?searchVariation=84794339379#searchVariation=84794339379&position=15&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$207,88"
9,"Xiaomi Mi Smart Band 5 (NFC) 1.1"" caixa de  plástico pc  preta pulseira  preta de  tpu e liga de alumínio XMSH11HM",https://www.mercadolivre.com.br/xiaomi-mi-smart-band-5-nfc-11-caixa-de-plastico-pc-preta-pulseira-preta-de-tpu-e-liga-de-aluminio-xmsh11hm/p/MLB16040268?pdp_filters=category:MLB135384#searchVariation=MLB16040268&position=2&search_layout=stack&type=product&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$189,75"
10,Relógio Amazfit Band 5 Alexa Oxímetro Versão Global Original,https://produto.mercadolivre.com.br/MLB-1743460940-relogio-amazfit-band-5-alexa-oximetro-verso-global-original-_JM?searchVariation=75816799090#searchVariation=75816799090&position=16&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$221,99"
11,Smartwatch Xiaomi Mi Band 5 Versão Global + Película,https://produto.mercadolivre.com.br/MLB-1653756077-smartwatch-xiaomi-mi-band-5-verso-global-pelicula-_JM?searchVariation=63782915697#searchVariation=63782915697&position=17&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$190,78"
12,Relogio Smartwatch Xiaomi Mi Band 5 + Pulseira + Pelicula M5,https://produto.mercadolivre.com.br/MLB-1667794373-relogio-smartwatch-xiaomi-mi-band-5-pulseira-pelicula-m5-_JM?searchVariation=76295621827#searchVariation=76295621827&position=18&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$207,88"
13,Kit Com 5 Pulseiras Para Mi Band 5 E Amazfit Band 5 Silicone,https://produto.mercadolivre.com.br/MLB-1799046187-kit-com-5-pulseiras-para-mi-band-5-e-amazfit-band-5-silicone-_JM?searchVariation=76789005098#searchVariation=76789005098&position=21&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$39,49"
14,Xiaomi Mi Band 6 Versao Global + 3 Pulseira + 1 Pelicula M63,https://produto.mercadolivre.com.br/MLB-1888104467-xiaomi-mi-band-6-versao-global-3-pulseira-1-pelicula-m63-_JM?searchVariation=85049298652#searchVariation=85049298652&position=22&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$337,88"
15,Miband 5 Original Lacrada Relógio Bracelete Xiaomi Mi Band ,https://produto.mercadolivre.com.br/MLB-1813254443-miband-5-original-lacrada-relogio-bracelete-xiaomi-mi-band-_JM?searchVariation=77717307438#searchVariation=77717307438&position=23&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$255,25"
16,Kit 5 Pulseira Miband 5 Original Premium Diversas Cores M5,https://produto.mercadolivre.com.br/MLB-1838310218-kit-5-pulseira-miband-5-original-premium-diversas-cores-m5-_JM?searchVariation=80281602705#searchVariation=80281602705&position=24&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$55,90"
17,Pulseira Fashion Mi Band 5 Aço Magnética Mega Premium,https://produto.mercadolivre.com.br/MLB-1776568307-pulseira-fashion-mi-band-5-aco-magnetica-mega-premium-_JM?searchVariation=73987304571#searchVariation=73987304571&position=25&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$48,77"
18,Kit De Pulseiras Cores Foscas Para Mi Band 4 Combo Com 5pcs.,https://produto.mercadolivre.com.br/MLB-1776590789-kit-de-pulseiras-cores-foscas-para-mi-band-4-combo-com-5pcs-_JM?searchVariation=73988239580#searchVariation=73988239580&position=26&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$39,79"
19,"Xiaomi Mi Band 3 0.78"" caixa de  plástico pulseira  graphite black de  elastômero termoplástico e liga de alumínio XMSH05HM",https://www.mercadolivre.com.br/xiaomi-mi-band-3-078-caixa-de-plastico-pulseira-graphite-black-de-elastmero-termoplastico-e-liga-de-aluminio-xmsh05hm/p/MLB14736193?pdp_filters=category:MLB135384#searchVariation=MLB14736193&position=3&search_layout=stack&type=product&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$94,99"
20,Pulseira De Atividade Xiaomi Mi Band 5 Premium Original,https://produto.mercadolivre.com.br/MLB-1803746246-pulseira-de-atividade-xiaomi-mi-band-5-premium-original-_JM?searchVariation=77101175833#searchVariation=77101175833&position=27&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$18,90"
21,Relogio Smartwatch Xiaomi Mi Band 5 + Pulseira Brinde,https://produto.mercadolivre.com.br/MLB-1894359540-relogio-smartwatch-xiaomi-mi-band-5-pulseira-brinde-_JM?searchVariation=85718998455#searchVariation=85718998455&position=28&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$219,90"
22,Kit 5 Pulseiras Silicone Para Xiaomi Mi Band 5  Premium,https://produto.mercadolivre.com.br/MLB-1672395541-kit-5-pulseiras-silicone-para-xiaomi-mi-band-5-premium-_JM?searchVariation=65205062383#searchVariation=65205062383&position=29&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$55,77"
23,Kit 5 Pulseira Mi Band 5 E 5 Silicone super Resistente,https://produto.mercadolivre.com.br/MLB-1838313256-kit-5-pulseira-mi-band-5-e-5-siliconesuper-resistente-_JM?searchVariation=80281745987#searchVariation=80281745987&position=30&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$55,90"
24,Xiaomi Mi Band 6 Versao Global + 3 Pulseira + 1 Pelicula M63,https://produto.mercadolivre.com.br/MLB-1888100378-xiaomi-mi-band-6-versao-global-3-pulseira-1-pelicula-m63-_JM?searchVariation=85049266423#searchVariation=85049266423&position=31&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$337,88"
25,"Xiaomi Mi Smart Band 4 0.95"" caixa de  policarbonato  black pulseira  black de  elastômero termoplástico e liga de alumínio XMSH07HM",https://www.mercadolivre.com.br/xiaomi-mi-smart-band-4-095-caixa-de-policarbonato-black-pulseira-black-de-elastmero-termoplastico-e-liga-de-aluminio-xmsh07hm/p/MLB14786768?pdp_filters=category:MLB135384#searchVariation=MLB14786768&position=4&search_layout=stack&type=product&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$171,25"
26,5 Pulseiras Miband 3 Ou 4 + Película De Gel Brinde! ,https://produto.mercadolivre.com.br/MLB-1781895850-5-pulseiras-miband-3-ou-4-pelicula-de-gel-brinde-_JM?searchVariation=74489246334#searchVariation=74489246334&position=32&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$32,90"
27,Pulseira Colorida Silicone Borracha Para Mi Band5 + Película,https://produto.mercadolivre.com.br/MLB-1669219009-pulseira-colorida-silicone-borracha-para-mi-band5-pelicula-_JM?searchVariation=64991040120#searchVariation=64991040120&position=33&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$7,00"
28,Mi Band 5 Smartwatch Xiaomi Global + Kit 3 Pulseira Envioja,https://produto.mercadolivre.com.br/MLB-1811908119-mi-band-5-smartwatch-xiaomi-global-kit-3-pulseira-envioja-_JM?searchVariation=77522839529#searchVariation=77522839529&position=34&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$269,90"
29,Pulseira Para Xiaomi Mi Band 5 Silicone Premium Novas Cores,https://produto.mercadolivre.com.br/MLB-1782372889-pulseira-para-xiaomi-mi-band-5-silicone-premium-novas-cores-_JM?searchVariation=88077489172#searchVariation=88077489172&position=35&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$18,99"
30,Pulseira Xiaomi Mi Band 5 Milanes Magnética  Alta Qualidade,https://produto.mercadolivre.com.br/MLB-1841276211-pulseira-xiaomi-mi-band-5-milanes-magnetica-alta-qualidade-_JM?searchVariation=80375801901#searchVariation=80375801901&position=36&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$48,89"
31,Mi Band 5 Relogio Smartwatch Pulseira Xiaomi Original ,https://produto.mercadolivre.com.br/MLB-1680979155-mi-band-5-relogio-smartwatch-pulseira-xiaomi-original-_JM?searchVariation=69940206795#searchVariation=69940206795&position=37&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$196,88"
32,Relogio Xiaomi Mi Band 5 Original Lacrado Versão 2020,https://produto.mercadolivre.com.br/MLB-1610521331-relogio-xiaomi-mi-band-5-original-lacrado-verso-2020-_JM?searchVariation=60886854738#searchVariation=60886854738&position=38&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$239,90"
33,Kit De 5 Pulseiras Silicone Para Mi Band 4 Diversas Cores,https://produto.mercadolivre.com.br/MLB-1776657239-kit-de-5-pulseiras-silicone-para-mi-band-4-diversas-cores-_JM?searchVariation=73992849240#searchVariation=73992849240&position=39&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$39,89"
34,Combo 5 Pulseira Relógio Xiaomi Mi Band 5 Premium Mb5,https://produto.mercadolivre.com.br/MLB-1838313237-combo-5-pulseira-relogio-xiaomi-mi-band-5-premium-mb5-_JM?searchVariation=80281688083#searchVariation=80281688083&position=40&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$55,90"
35,5 Pulseiras Miband 3 Ou 4 + Película De Gel Brinde! ,https://produto.mercadolivre.com.br/MLB-1434935823-5-pulseiras-miband-3-ou-4-pelicula-de-gel-brinde-_JM?searchVariation=66067284061#searchVariation=66067284061&position=41&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$39,88"
36,Mi Band 5 Smartwatch Xiaomi Global + Kit3 Pulseira P/entrega,https://produto.mercadolivre.com.br/MLB-1837531380-mi-band-5-smartwatch-xiaomi-global-kit3-pulseira-pentrega-_JM?searchVariation=79993080081#searchVariation=79993080081&position=42&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$198,99"
37,Pulseira Aço Inox Para Mi Band 5 Metal Milanese Com Ajuste,https://produto.mercadolivre.com.br/MLB-1661719803-pulseira-aco-inox-para-mi-band-5-metal-milanese-com-ajuste-_JM?searchVariation=64389584026#searchVariation=64389584026&position=43&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$69,99"
38,5 Pulseiras Miband 3 Ou 4 + Película De Gel Brinde! Envio Já,https://produto.mercadolivre.com.br/MLB-1837530608-5-pulseiras-miband-3-ou-4-pelicula-de-gel-brinde-envio-ja-_JM?searchVariation=79992897665#searchVariation=79992897665&position=44&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$33,22"
39,Kit Com 5 Pulseiras Para Mi Band 4 De Silicone Fosco Premium,https://produto.mercadolivre.com.br/MLB-1776221534-kit-com-5-pulseiras-para-mi-band-4-de-silicone-fosco-premium-_JM?searchVariation=73967386046#searchVariation=73967386046&position=45&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$39,69"
40,Pulseira Colorida Para Xiaomi Mi Band 5 Silicone Premium Top,https://produto.mercadolivre.com.br/MLB-1710991262-pulseira-colorida-para-xiaomi-mi-band-5-silicone-premium-top-_JM?searchVariation=67674320089#searchVariation=67674320089&position=46&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$16,97"
41,Pulseira De Silicone Para Mi Band 4 E 5 Estampada Caveiras P,https://produto.mercadolivre.com.br/MLB-1663262862-pulseira-de-silicone-para-mi-band-4-e-5-estampada-caveiras-p-_JM?searchVariation=64516466672#searchVariation=64516466672&position=47&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$14,99"
42,Pulseira De Silicone Para Mi Band 3 E 4 - Kit Com 5,https://produto.mercadolivre.com.br/MLB-1781895834-pulseira-de-silicone-para-mi-band-3-e-4-kit-com-5-_JM?searchVariation=82847762858#searchVariation=82847762858&position=48&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$28,90"
43,5 Pulseiras Miband 3 Ou 4 + Película De Gel Brinde! ,https://produto.mercadolivre.com.br/MLB-1825806063-5-pulseiras-miband-3-ou-4-pelicula-de-gel-brinde-_JM?searchVariation=79024571442#searchVariation=79024571442&position=49&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$42,99"
44,Xiaomi Mi Band 5 Global + 3 Pulseira Extra + 1 Pelicula M31,https://produto.mercadolivre.com.br/MLB-1885382158-xiaomi-mi-band-5-global-3-pulseira-extra-1-pelicula-m31-_JM?searchVariation=84794368747#searchVariation=84794368747&position=50&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$207,88"
45,Mi Band 5 Relogio Smartwatch Pulseira Xiaomi Original,https://produto.mercadolivre.com.br/MLB-1757271175-mi-band-5-relogio-smartwatch-pulseira-xiaomi-original-_JM?searchVariation=72374934770#searchVariation=72374934770&position=51&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$196,88"
46,"Smartwatch Amazfit Bands Band 5 1.1"" caixa de  policarbonato pulseira  orange de  tpu A2005",https://www.mercadolivre.com.br/smartwatch-amazfit-bands-band-5-11-caixa-de-policarbonato-pulseira-orange-de-tpu-a2005/p/MLB17232988?pdp_filters=category:MLB135384#searchVariation=MLB17232988&position=5&search_layout=stack&type=product&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$208,33"
47,Relógio Xiaomi Mi Band 4 Original Novo Português C/ Nota,https://produto.mercadolivre.com.br/MLB-1625406016-relogio-xiaomi-mi-band-4-original-novo-portugus-c-nota-_JM?searchVariation=61795217567#searchVariation=61795217567&position=52&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$219,25"
48,Relogio Smartwatch Xiaomi Mi Band 5,https://produto.mercadolivre.com.br/MLB-1874320138-relogio-smartwatch-xiaomi-mi-band-5-_JM#position=53&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$210,50"
49,Relogio Pulso Xiaomi Mi Band 5 Smartwatch ,https://produto.mercadolivre.com.br/MLB-1886797405-relogio-pulso-xiaomi-mi-band-5-smartwatch-_JM?searchVariation=84943080898#searchVariation=84943080898&position=54&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$219,99"
